# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank      Total_Cells          Region1          Region0          Region2
#           (DEG)           (none)           (none)           (none)           (none)
#
   -3.7800000e+02           130657            45385            45328            39944
   -3.7789566e+02           131078            45641            45331            40106
   -3.7779164e+02           130983            45647            45250            40086
   -3.7767173e+02           130987            45642            45286            40059
   -3.7758847e+02           130920            45641            45224            40055
   -3.7748438e+02           130855            45647            45184            40024
   -3.7737043e+02           130987            45644            45337            40006
   -3.7725729e+02           131478            45643            45860            39975
   -3.7713518e+02           131432            45639            45843            39950
   -3.7700976e+02           131513            45647            45945            39921
   -3.7689565e+02           131550            45640            46028            39882
   -3.7679129e+02           131582            45654            46082            39846
   -3.7667790e+02           131542            45652            46068            39822
   -3.7656508e+02           131509            45645            46070            39794
   -3.7645116e+02           131457            45647            46012            39798
   -3.7633867e+02           131355            45646            45934            39775
   -3.7622478e+02           131263            45640            45879            39744
   -3.7611091e+02           131167            45644            45806            39717
   -3.7599912e+02           131086            45648            45750            39688
   -3.7588773e+02           130919            45642            45631            39646
   -3.7577390e+02           130729            45641            45456            39632
   -3.7566008e+02           130075            45655            44820            39600
   -3.7554903e+02           129974            45644            44740            39590
   -3.7543833e+02           129888            45647            44669            39572
   -3.7532455e+02           129800            45644            44789            39367
   -3.7521357e+02           129727            45647            44737            39343
   -3.7510701e+02           129641            45642            44674            39325
   -3.7500170e+02           129580            45644            44620            39316
   -3.7490193e+02           129503            45643            44541            39319
   -3.7479720e+02           129422            45646            44457            39319
   -3.7469673e+02           129354            45648            44403            39303
   -3.7450442e+02           129259            45647            44315            39297
   -3.7440179e+02           129207            45642            44271            39294
   -3.7430653e+02           129028            45643            44090            39295
   -3.7421619e+02           129019            45639            44094            39286
   -3.7411819e+02           128959            45648            44033            39278
   -3.7402543e+02           128900            45649            43986            39265
   -3.7393180e+02           128936            45649            44023            39264
   -3.7384477e+02           128961            45646            44061            39254
   -3.7375502e+02           128932            45645            44050            39237
   -3.7366898e+02           128887            45645            44019            39223
   -3.7358589e+02           128871            45643            44003            39225
   -3.7342594e+02           128769            45641            43910            39218
   -3.7335094e+02           128716            45639            43864            39213
   -3.7327736e+02           128700            45652            43836            39212
   -3.7313360e+02           128584            45643            43751            39190
   -3.7306374e+02           128529            45641            43705            39183
   -3.7298841e+02           128698            45648            43676            39374
   -3.7284124e+02           128476            45643            43453            39380
   -3.7276881e+02           128417            45644            43402            39371
   -3.7269690e+02           128364            45642            43340            39382
   -3.7255758e+02           128254            45644            43256            39354
   -3.7248865e+02           128198            45646            43211            39341
   -3.7235306e+02           128008            45647            43043            39318
   -3.7228645e+02           127997            45641            43049            39307
   -3.7214794e+02           127895            45650            42972            39273
   -3.7207415e+02           127891            45643            42987            39261
   -3.7193006e+02           127777            45643            42884            39250
   -3.7185884e+02           127716            45641            42839            39236
   -3.7178847e+02           127677            45645            42808            39224
   -3.7164463e+02           127539            45641            42710            39188
   -3.7157319e+02           127479            45637            42665            39177
   -3.7142888e+02           127379            45644            42576            39159
   -3.7135787e+02           127317            45644            42524            39149
   -3.7128805e+02           127254            45643            42456            39155
   -3.7114321e+02           127146            45646            42372            39128
   -3.7106775e+02           127079            45644            42314            39121
   -3.7099332e+02           127007            45646            42251            39110
   -3.7084232e+02           126806            45646            42073            39087
   -3.7076634e+02           126221            45645            41504            39072
   -3.7068879e+02           126167            45649            41458            39060
   -3.7054081e+02           125872            45647            41177            39048
   -3.7047031e+02           125870            45639            41194            39037
   -3.7039937e+02           125838            45648            41170            39020
   -3.7025512e+02           125716            45642            41086            38988
   -3.7018208e+02           125663            45642            41051            38970
   -3.7003582e+02           125579            45647            40984            38948
   -3.6996265e+02           125522            45644            40947            38931
   -3.6988273e+02           125475            45646            40911            38918
   -3.6972126e+02           125370            45638            40824            38908
   -3.6963994e+02           125328            45651            40784            38893
   -3.6955827e+02           125278            45649            40749            38880
   -3.6947773e+02           125389            45643            40874            38872
   -3.6939719e+02           125341            45648            40826            38867
   -3.6923110e+02           125239            45645            40752            38842
   -3.6914643e+02           125187            45643            40723            38821
   -3.6906250e+02           125137            45646            40686            38805
   -3.6897735e+02           125092            45647            40888            38557
   -3.6888997e+02           125035            45646            40844            38545
   -3.6879825e+02           124997            45646            40814            38537
   -3.6861551e+02           124895            45647            40730            38518
   -3.6852393e+02           124644            45649            40490            38505
   -3.6843262e+02           124642            45642            40512            38488
   -3.6833979e+02           124599            45648            40474            38477
   -3.6824679e+02           124559            45656            40450            38453
   -3.6814827e+02           124509            45645            40421            38443
