# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7800000e+02    1.3236757e+00    4.4257154e-01    7.5547207e-01    1.9327254e-01    1.4263740e+00    6.0350111e+19    7.0107842e-01    4.5231600e-01   -1.0000000e+00   -1.0000000e+00
   -3.7789566e+02    1.3236957e+00    4.4257980e-01    7.5546064e-01    1.9327577e-01    1.4264130e+00    6.0352470e+19    7.0105925e-01    4.5232478e-01   -1.0000000e+00   -1.0000000e+00
   -3.7779164e+02    1.3237298e+00    4.4259385e-01    7.5544119e-01    1.9328126e-01    1.4264794e+00    6.0356484e+19    7.0102661e-01    4.5233973e-01   -1.0000000e+00   -1.0000000e+00
   -3.7767173e+02    1.3237643e+00    4.4260806e-01    7.5542150e-01    1.9328681e-01    1.4265466e+00    6.0360546e+19    7.0099359e-01    4.5235484e-01   -1.0000000e+00   -1.0000000e+00
   -3.7758847e+02    1.3237855e+00    4.4261681e-01    7.5540937e-01    1.9329023e-01    1.4265880e+00    6.0363048e+19    7.0097324e-01    4.5236415e-01   -1.0000000e+00   -1.0000000e+00
   -3.7748438e+02    1.3238116e+00    4.4262752e-01    7.5539453e-01    1.9329441e-01    1.4266387e+00    6.0366111e+19    7.0094833e-01    4.5237555e-01   -1.0000000e+00   -1.0000000e+00
   -3.7737043e+02    1.3238406e+00    4.4263949e-01    7.5537794e-01    1.9329909e-01    1.4266953e+00    6.0369532e+19    7.0092050e-01    4.5238828e-01   -1.0000000e+00   -1.0000000e+00
   -3.7725729e+02    1.3238705e+00    4.4265179e-01    7.5536088e-01    1.9330389e-01    1.4267536e+00    6.0373052e+19    7.0089188e-01    4.5240136e-01   -1.0000000e+00   -1.0000000e+00
   -3.7713518e+02    1.3239039e+00    4.4266550e-01    7.5534186e-01    1.9330925e-01    1.4268186e+00    6.0376975e+19    7.0085996e-01    4.5241595e-01   -1.0000000e+00   -1.0000000e+00
   -3.7700976e+02    1.3239382e+00    4.4267960e-01    7.5532229e-01    1.9331476e-01    1.4268854e+00    6.0381011e+19    7.0082712e-01    4.5243095e-01   -1.0000000e+00   -1.0000000e+00
   -3.7689565e+02    1.3239683e+00    4.4269201e-01    7.5530507e-01    1.9331960e-01    1.4269442e+00    6.0384562e+19    7.0079823e-01    4.5244415e-01   -1.0000000e+00   -1.0000000e+00
   -3.7679129e+02    1.3239940e+00    4.4270255e-01    7.5529043e-01    1.9332372e-01    1.4269943e+00    6.0387582e+19    7.0077365e-01    4.5245537e-01   -1.0000000e+00   -1.0000000e+00
   -3.7667790e+02    1.3240178e+00    4.4271232e-01    7.5527685e-01    1.9332754e-01    1.4270407e+00    6.0390381e+19    7.0075087e-01    4.5246576e-01   -1.0000000e+00   -1.0000000e+00
   -3.7656508e+02    1.3240355e+00    4.4271957e-01    7.5526678e-01    1.9333037e-01    1.4270751e+00    6.0392458e+19    7.0073397e-01    4.5247348e-01   -1.0000000e+00   -1.0000000e+00
   -3.7645116e+02    1.3240449e+00    4.4272344e-01    7.5526141e-01    1.9333188e-01    1.4270935e+00    6.0393566e+19    7.0072495e-01    4.5247759e-01   -1.0000000e+00   -1.0000000e+00
   -3.7633867e+02    1.3240438e+00    4.4272298e-01    7.5526205e-01    1.9333170e-01    1.4270913e+00    6.0393434e+19    7.0072602e-01    4.5247710e-01   -1.0000000e+00   -1.0000000e+00
   -3.7622478e+02    1.3240297e+00    4.4271722e-01    7.5527005e-01    1.9332945e-01    1.4270639e+00    6.0391784e+19    7.0073945e-01    4.5247097e-01   -1.0000000e+00   -1.0000000e+00
