# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7800000e+02    1.9999929e+00    4.1037861e-09    5.0000178e-01    1.0259538e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7789566e+02    1.9999929e+00    4.1482011e-09    5.0000178e-01    1.0370576e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7779164e+02    1.9999929e+00    4.1439640e-09    5.0000178e-01    1.0359983e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7767173e+02    1.9999929e+00    4.1340309e-09    5.0000178e-01    1.0335151e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7758847e+02    1.9999929e+00    4.1287336e-09    5.0000178e-01    1.0321907e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7748438e+02    1.9999929e+00    4.1123846e-09    5.0000178e-01    1.0281034e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7737043e+02    1.9999929e+00    4.1041842e-09    5.0000178e-01    1.0260533e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7725729e+02    1.9999929e+00    4.0885097e-09    5.0000178e-01    1.0221347e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7713518e+02    1.9999929e+00    4.0779949e-09    5.0000178e-01    1.0195060e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7700976e+02    1.9999929e+00    4.0670454e-09    5.0000178e-01    1.0167686e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7689565e+02    1.9999929e+00    4.0468551e-09    5.0000178e-01    1.0117210e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7679129e+02    1.9999929e+00    4.0288790e-09    5.0000178e-01    1.0072269e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7667790e+02    1.9999929e+00    4.0208668e-09    5.0000178e-01    1.0052238e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
   -3.7656508e+02    1.9999929e+00    4.0107081e-09    5.0000178e-01    1.0026841e-09    1.0000000e+20    0.0000000e+00    0.0000000e+00    0.0000000e+00   -1.0000000e+00   -1.0000000e+00
