# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                  3                     4                      5                6                     7                8                     9
#           Crank     Cycle_Number Net_Mass_Flow_Rate Net_Mass_Flow_Rate_In Net_Mass_Flow_Rate_Out   Mass_Flow_Rate Parcel_Mass_flow_Rate   Mass_Flow_Rate Parcel_Mass_flow_Rate
#           (DEG)         (number)             (kg/s)                (kg/s)                 (kg/s)           (kg/s)                (kg/s)           (kg/s)                (kg/s)
#          (none)           (none)             (none)                (none)                 (none)       bound_id_6            bound_id_6       bound_id_7            bound_id_7
   -3.7800000e+02                0      0.0000000e+00         0.0000000e+00          0.0000000e+00    0.0000000e+00         0.0000000e+00    0.0000000e+00         0.0000000e+00
   -3.7789566e+02               14      8.0544095e-04         1.0190287e-03         -2.1358770e-04   -2.1358770e-04         0.0000000e+00    1.0190287e-03         0.0000000e+00
   -3.7779164e+02               17      9.5502967e-04         1.1571678e-03         -2.0213811e-04   -2.0213811e-04         0.0000000e+00    1.1571678e-03         0.0000000e+00
   -3.7767173e+02               19      7.8094729e-04         9.6201308e-04         -1.8106578e-04   -1.8106578e-04         0.0000000e+00    9.6201308e-04         0.0000000e+00
   -3.7758847e+02               20      6.6045968e-04         8.5117596e-04         -1.9071628e-04   -1.9071628e-04         0.0000000e+00    8.5117596e-04         0.0000000e+00
   -3.7748438e+02               21      5.7111384e-04         7.8545940e-04         -2.1434557e-04   -2.1434557e-04         0.0000000e+00    7.8545940e-04         0.0000000e+00
   -3.7737043e+02               22      5.2096958e-04         7.6208646e-04         -2.4111689e-04   -2.4111689e-04         0.0000000e+00    7.6208646e-04         0.0000000e+00
   -3.7725729e+02               23      4.9944461e-04         7.6390209e-04         -2.6445748e-04   -2.6445748e-04         0.0000000e+00    7.6390209e-04         0.0000000e+00
   -3.7713518e+02               24      4.9420978e-04         7.7528635e-04         -2.8107657e-04   -2.8107657e-04         0.0000000e+00    7.7528635e-04         0.0000000e+00
   -3.7700976e+02               25      4.9594612e-04         7.7708078e-04         -2.8113466e-04   -2.8113466e-04         0.0000000e+00    7.7708078e-04         0.0000000e+00
   -3.7689565e+02               26      5.1351447e-04         7.7296649e-04         -2.5945202e-04   -2.5945202e-04         0.0000000e+00    7.7296649e-04         0.0000000e+00
   -3.7679129e+02               27      5.5087291e-04         7.6537017e-04         -2.1449726e-04   -2.1449726e-04         0.0000000e+00    7.6537017e-04         0.0000000e+00
   -3.7667790e+02               28      6.2507296e-04         7.5147565e-04         -1.2640269e-04   -1.2640269e-04         0.0000000e+00    7.5147565e-04         0.0000000e+00
   -3.7656508e+02               29      7.4876496e-04         7.3989389e-04          8.8710664e-06    8.8710664e-06         0.0000000e+00    7.3989389e-04         0.0000000e+00
   -3.7645116e+02               30      9.3043798e-04         7.3071056e-04          1.9972742e-04    1.9972742e-04         0.0000000e+00    7.3071056e-04         0.0000000e+00
   -3.7633867e+02               31      1.1682284e-03         7.2533437e-04          4.4289398e-04    4.4289398e-04         0.0000000e+00    7.2533437e-04         0.0000000e+00
   -3.7622478e+02               32      1.4642748e-03         7.2228126e-04          7.4199356e-04    7.4199356e-04         0.0000000e+00    7.2228126e-04         0.0000000e+00
   -3.7611091e+02               33      1.8073686e-03         7.2083361e-04          1.0865350e-03    1.0865350e-03         0.0000000e+00    7.2083361e-04         0.0000000e+00
   -3.7599912e+02               34      2.1788679e-03         7.2046806e-04          1.4583998e-03    1.4583998e-03         0.0000000e+00    7.2046806e-04         0.0000000e+00
   -3.7588773e+02               35      2.5721387e-03         7.2134389e-04          1.8507948e-03    1.8507948e-03         0.0000000e+00    7.2134389e-04         0.0000000e+00
   -3.7577390e+02               36      2.9864108e-03         7.2427410e-04          2.2621367e-03    2.2621367e-03         0.0000000e+00    7.2427410e-04         0.0000000e+00
   -3.7566008e+02               37      3.4024204e-03         7.3007216e-04          2.6723483e-03    2.6723483e-03         0.0000000e+00    7.3007216e-04         0.0000000e+00
   -3.7554903e+02               38      3.8017413e-03         7.3863964e-04          3.0631016e-03    3.0631016e-03         0.0000000e+00    7.3863964e-04         0.0000000e+00
   -3.7543833e+02               39      4.1874318e-03         7.4968893e-04          3.4377429e-03    3.4377429e-03         0.0000000e+00    7.4968893e-04         0.0000000e+00
   -3.7532455e+02               40      4.5678627e-03         7.6419133e-04          3.8036714e-03    3.8036714e-03         0.0000000e+00    7.6419133e-04         0.0000000e+00
   -3.7521357e+02               41      4.9231505e-03         7.8255582e-04          4.1405947e-03    4.1405947e-03         0.0000000e+00    7.8255582e-04         0.0000000e+00
   -3.7510701e+02               42      5.2483508e-03         8.0279201e-04          4.4455587e-03    4.4455587e-03         0.0000000e+00    8.0279201e-04         0.0000000e+00
   -3.7500170e+02               43      5.5531686e-03         8.2399703e-04          4.7291716e-03    4.7291716e-03         0.0000000e+00    8.2399703e-04         0.0000000e+00
   -3.7490193e+02               44      5.8284563e-03         8.4615925e-04          4.9822970e-03    4.9822970e-03         0.0000000e+00    8.4615925e-04         0.0000000e+00
   -3.7479720e+02               45      6.1005632e-03         8.6915446e-04          5.2314087e-03    5.2314087e-03         0.0000000e+00    8.6915446e-04         0.0000000e+00
   -3.7469673e+02               46      6.3475832e-03         8.9347688e-04          5.4541064e-03    5.4541064e-03         0.0000000e+00    8.9347688e-04         0.0000000e+00
   -3.7450442e+02               48      6.7726173e-03         9.3907194e-04          5.8335454e-03    5.8335454e-03         0.0000000e+00    9.3907194e-04         0.0000000e+00
   -3.7440179e+02               49      6.9691264e-03         9.6116151e-04          6.0079649e-03    6.0079649e-03         0.0000000e+00    9.6116151e-04         0.0000000e+00
   -3.7430653e+02               50      7.1348913e-03         9.8282759e-04          6.1520637e-03    6.1520637e-03         0.0000000e+00    9.8282759e-04         0.0000000e+00
   -3.7421619e+02               51      7.2736564e-03         1.0015966e-03          6.2720598e-03    6.2720598e-03         0.0000000e+00    1.0015966e-03         0.0000000e+00
   -3.7411819e+02               52      7.3994216e-03         1.0180770e-03          6.3813446e-03    6.3813446e-03         0.0000000e+00    1.0180770e-03         0.0000000e+00
   -3.7402543e+02               53      7.4998456e-03         1.0339430e-03          6.4659026e-03    6.4659026e-03         0.0000000e+00    1.0339430e-03         0.0000000e+00
   -3.7393180e+02               54      7.5786898e-03         1.0468942e-03          6.5317956e-03    6.5317956e-03         0.0000000e+00    1.0468942e-03         0.0000000e+00
   -3.7384477e+02               55      7.6343949e-03         1.0578449e-03          6.5765500e-03    6.5765500e-03         0.0000000e+00    1.0578449e-03         0.0000000e+00
   -3.7375502e+02               56      7.6699805e-03         1.0654152e-03          6.6045654e-03    6.6045654e-03         0.0000000e+00    1.0654152e-03         0.0000000e+00
   -3.7366898e+02               57      7.6871527e-03         1.0716821e-03          6.6154706e-03    6.6154706e-03         0.0000000e+00    1.0716821e-03         0.0000000e+00
   -3.7358589e+02               58      7.6870686e-03         1.0758696e-03          6.6111989e-03    6.6111989e-03         0.0000000e+00    1.0758696e-03         0.0000000e+00
   -3.7342594e+02               60      7.6418856e-03         1.0782965e-03          6.5635891e-03    6.5635891e-03         0.0000000e+00    1.0782965e-03         0.0000000e+00
   -3.7335094e+02               61      7.6010004e-03         1.0763024e-03          6.5246979e-03    6.5246979e-03         0.0000000e+00    1.0763024e-03         0.0000000e+00
   -3.7327736e+02               62      7.5486380e-03         1.0722633e-03          6.4763747e-03    6.4763747e-03         0.0000000e+00    1.0722633e-03         0.0000000e+00
   -3.7313360e+02               64      7.4143150e-03         1.0596926e-03          6.3546224e-03    6.3546224e-03         0.0000000e+00    1.0596926e-03         0.0000000e+00
   -3.7306374e+02               65      7.3347560e-03         1.0514776e-03          6.2832784e-03    6.2832784e-03         0.0000000e+00    1.0514776e-03         0.0000000e+00
   -3.7298841e+02               66      7.2371543e-03         1.0400018e-03          6.1971525e-03    6.1971525e-03         0.0000000e+00    1.0400018e-03         0.0000000e+00
   -3.7284124e+02               68      7.0185867e-03         1.0107544e-03          6.0078323e-03    6.0078323e-03         0.0000000e+00    1.0107544e-03         0.0000000e+00
   -3.7276881e+02               69      6.8966952e-03         9.9206753e-04          5.9046276e-03    5.9046276e-03         0.0000000e+00    9.9206753e-04         0.0000000e+00
   -3.7269690e+02               70      6.7672551e-03         9.7098830e-04          5.7962668e-03    5.7962668e-03         0.0000000e+00    9.7098830e-04         0.0000000e+00
   -3.7255758e+02               72      6.4949039e-03         9.2324483e-04          5.5716591e-03    5.5716591e-03         0.0000000e+00    9.2324483e-04         0.0000000e+00
   -3.7248865e+02               73      6.3500289e-03         8.9592023e-04          5.4541087e-03    5.4541087e-03         0.0000000e+00    8.9592023e-04         0.0000000e+00
   -3.7235306e+02               75      6.0460269e-03         8.3292644e-04          5.2131005e-03    5.2131005e-03         0.0000000e+00    8.3292644e-04         0.0000000e+00
   -3.7228645e+02               76      5.8884586e-03         7.9778471e-04          5.0906739e-03    5.0906739e-03         0.0000000e+00    7.9778471e-04         0.0000000e+00
   -3.7214794e+02               78      5.5463699e-03         7.1755606e-04          4.8288138e-03    4.8288138e-03         0.0000000e+00    7.1755606e-04         0.0000000e+00
   -3.7207415e+02               79      5.3585568e-03         6.7181368e-04          4.6867431e-03    4.6867431e-03         0.0000000e+00    6.7181368e-04         0.0000000e+00
   -3.7193006e+02               81      4.9833429e-03         5.7690486e-04          4.4064380e-03    4.4064380e-03         0.0000000e+00    5.7690486e-04         0.0000000e+00
   -3.7185884e+02               82      4.7929307e-03         5.2604119e-04          4.2668895e-03    4.2668895e-03         0.0000000e+00    5.2604119e-04         0.0000000e+00
   -3.7178847e+02               83      4.6032550e-03         4.7422851e-04          4.1290264e-03    4.1290264e-03         0.0000000e+00    4.7422851e-04         0.0000000e+00
   -3.7164463e+02               85      4.2156091e-03         3.6711623e-04          3.8484929e-03    3.8484929e-03         0.0000000e+00    3.6711623e-04         0.0000000e+00
   -3.7157319e+02               86      4.0256158e-03         3.1472017e-04          3.7108956e-03    3.7108956e-03         0.0000000e+00    3.1472017e-04         0.0000000e+00
   -3.7142888e+02               88      3.6413594e-03         2.0394590e-04          3.4374135e-03    3.4374135e-03         0.0000000e+00    2.0394590e-04         0.0000000e+00
   -3.7135787e+02               89      3.4476915e-03         1.4220939e-04          3.3054821e-03    3.3054821e-03         0.0000000e+00    1.4220939e-04         0.0000000e+00
   -3.7128805e+02               90      3.2639011e-03         8.6024831e-05          3.1778763e-03    3.1778763e-03         0.0000000e+00    8.6024831e-05         0.0000000e+00
   -3.7114321e+02               92      2.9019037e-03        -1.8925064e-05          2.9208288e-03    2.9208288e-03         0.0000000e+00   -1.8925064e-05         0.0000000e+00
   -3.7106775e+02               93      2.7278418e-03        -6.3936694e-05          2.7917784e-03    2.7917784e-03         0.0000000e+00   -6.3936694e-05         0.0000000e+00
   -3.7099332e+02               94      2.5651070e-03        -1.0306946e-04          2.6681764e-03    2.6681764e-03         0.0000000e+00   -1.0306946e-04         0.0000000e+00
   -3.7084232e+02               96      2.2602774e-03        -1.6814189e-04          2.4284193e-03    2.4284193e-03         0.0000000e+00   -1.6814189e-04         0.0000000e+00
   -3.7076634e+02               97      2.1187274e-03        -1.9530355e-04          2.3140310e-03    2.3140310e-03         0.0000000e+00   -1.9530355e-04         0.0000000e+00
   -3.7068879e+02               98      1.9828655e-03        -2.1931438e-04          2.2021799e-03    2.2021799e-03         0.0000000e+00   -2.1931438e-04         0.0000000e+00
   -3.7054081e+02              100      1.7459548e-03        -2.5735453e-04          2.0033093e-03    2.0033093e-03         0.0000000e+00   -2.5735453e-04         0.0000000e+00
   -3.7047031e+02              101      1.6438105e-03        -2.7172137e-04          1.9155318e-03    1.9155318e-03         0.0000000e+00   -2.7172137e-04         0.0000000e+00
   -3.7039937e+02              102      1.5469836e-03        -2.8471828e-04          1.8317019e-03    1.8317019e-03         0.0000000e+00   -2.8471828e-04         0.0000000e+00
   -3.7025512e+02              104      1.3686383e-03        -3.0768359e-04          1.6763219e-03    1.6763219e-03         0.0000000e+00   -3.0768359e-04         0.0000000e+00
   -3.7018208e+02              105      1.2887541e-03        -3.1723351e-04          1.6059876e-03    1.6059876e-03         0.0000000e+00   -3.1723351e-04         0.0000000e+00
   -3.7003582e+02              107      1.1488256e-03        -3.3353361e-04          1.4823593e-03    1.4823593e-03         0.0000000e+00   -3.3353361e-04         0.0000000e+00
   -3.6996265e+02              108      1.0879384e-03        -3.4096250e-04          1.4289009e-03    1.4289009e-03         0.0000000e+00   -3.4096250e-04         0.0000000e+00
   -3.6988273e+02              109      1.0278648e-03        -3.4899190e-04          1.3768567e-03    1.3768567e-03         0.0000000e+00   -3.4899190e-04         0.0000000e+00
   -3.6972126e+02              111      9.2048773e-04        -3.6993710e-04          1.2904248e-03    1.2904248e-03         0.0000000e+00   -3.6993710e-04         0.0000000e+00
   -3.6963994e+02              112      8.7550214e-04        -3.8111291e-04          1.2566150e-03    1.2566150e-03         0.0000000e+00   -3.8111291e-04         0.0000000e+00
   -3.6955827e+02              113      8.3562778e-04        -3.9328457e-04          1.2289123e-03    1.2289123e-03         0.0000000e+00   -3.9328457e-04         0.0000000e+00
   -3.6947773e+02              114      8.0124066e-04        -4.0618332e-04          1.2074240e-03    1.2074240e-03         0.0000000e+00   -4.0618332e-04         0.0000000e+00
   -3.6939719e+02              115      7.7093937e-04        -4.2055548e-04          1.1914948e-03    1.1914948e-03         0.0000000e+00   -4.2055548e-04         0.0000000e+00
   -3.6923110e+02              117      7.1991949e-04        -4.5566829e-04          1.1755878e-03    1.1755878e-03         0.0000000e+00   -4.5566829e-04         0.0000000e+00
   -3.6914643e+02              118      7.0038250e-04        -4.7575416e-04          1.1761367e-03    1.1761367e-03         0.0000000e+00   -4.7575416e-04         0.0000000e+00
   -3.6906250e+02              119      6.8489898e-04        -4.9713701e-04          1.1820360e-03    1.1820360e-03         0.0000000e+00   -4.9713701e-04         0.0000000e+00
   -3.6897735e+02              120      6.7399028e-04        -5.1939620e-04          1.1933865e-03    1.1933865e-03         0.0000000e+00   -5.1939620e-04         0.0000000e+00
   -3.6888997e+02              121      6.6598025e-04        -5.4411570e-04          1.2100960e-03    1.2100960e-03         0.0000000e+00   -5.4411570e-04         0.0000000e+00
   -3.6879825e+02              122      6.6167083e-04        -5.7111265e-04          1.2327835e-03    1.2327835e-03         0.0000000e+00   -5.7111265e-04         0.0000000e+00
   -3.6861551e+02              124      6.6379944e-04        -6.2767273e-04          1.2914722e-03    1.2914722e-03         0.0000000e+00   -6.2767273e-04         0.0000000e+00
   -3.6852393e+02              125      6.7118667e-04        -6.5554727e-04          1.3267339e-03    1.3267339e-03         0.0000000e+00   -6.5554727e-04         0.0000000e+00
   -3.6843262e+02              126      6.8182331e-04        -6.8318959e-04          1.3650129e-03    1.3650129e-03         0.0000000e+00   -6.8318959e-04         0.0000000e+00
   -3.6833979e+02              127      6.9604091e-04        -7.1057253e-04          1.4066134e-03    1.4066134e-03         0.0000000e+00   -7.1057253e-04         0.0000000e+00
   -3.6824679e+02              128      7.1265404e-04        -7.3775633e-04          1.4504104e-03    1.4504104e-03         0.0000000e+00   -7.3775633e-04         0.0000000e+00
   -3.6814827e+02              129      7.3450982e-04        -7.6425997e-04          1.4987698e-03    1.4987698e-03         0.0000000e+00   -7.6425997e-04         0.0000000e+00
   -3.6805623e+02              130      7.5556027e-04        -7.8935857e-04          1.5449188e-03    1.5449188e-03         0.0000000e+00   -7.8935857e-04         0.0000000e+00
   -3.6795945e+02              131      7.8285789e-04        -8.1163896e-04          1.5944968e-03    1.5944968e-03         0.0000000e+00   -8.1163896e-04         0.0000000e+00
   -3.6786404e+02              132      8.1053984e-04        -8.3289840e-04          1.6434382e-03    1.6434382e-03         0.0000000e+00   -8.3289840e-04         0.0000000e+00
   -3.6776999e+02              133      8.3961669e-04        -8.5182511e-04          1.6914418e-03    1.6914418e-03         0.0000000e+00   -8.5182511e-04         0.0000000e+00
   -3.6767621e+02              134      8.7072791e-04        -8.6784780e-04          1.7385757e-03    1.7385757e-03         0.0000000e+00   -8.6784780e-04         0.0000000e+00
   -3.6757883e+02              135      9.0530887e-04        -8.8083400e-04          1.7861429e-03    1.7861429e-03         0.0000000e+00   -8.8083400e-04         0.0000000e+00
   -3.6748207e+02              136      9.4007325e-04        -8.9137128e-04          1.8314445e-03    1.8314445e-03         0.0000000e+00   -8.9137128e-04         0.0000000e+00
   -3.6738705e+02              137      9.7488788e-04        -8.9878857e-04          1.8736765e-03    1.8736765e-03         0.0000000e+00   -8.9878857e-04         0.0000000e+00
   -3.6728800e+02              138      1.0126227e-03        -9.0216176e-04          1.9147844e-03    1.9147844e-03         0.0000000e+00   -9.0216176e-04         0.0000000e+00
   -3.6719078e+02              139      1.0485207e-03        -9.0315672e-04          1.9516774e-03    1.9516774e-03         0.0000000e+00   -9.0315672e-04         0.0000000e+00
   -3.6709293e+02              140      1.0849611e-03        -9.0008567e-04          1.9850467e-03    1.9850467e-03         0.0000000e+00   -9.0008567e-04         0.0000000e+00
   -3.6699630e+02              141      1.1201947e-03        -8.9375858e-04          2.0139533e-03    2.0139533e-03         0.0000000e+00   -8.9375858e-04         0.0000000e+00
