# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9
#           Crank     Cycle_Number        PISO_Iter        Pres_Iter       Ustar_Iter      Energy_Iter     Density_Iter  Turbulence_Iter     Species_Iter
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7799880e+02                1                4                8                3                5                5                2                8
   -3.7799730e+02                2                4                8                3                5                5                2                8
   -3.7799543e+02                3                4                8                3                5                5                2                8
   -3.7799308e+02                4                4                8                3                5                5                2                8
   -3.7799015e+02                5                4                8                3                5                5                2                8
   -3.7798649e+02                6                4                8                3                5                5                2                8
   -3.7798191e+02                7                4                8                3                5                5                2                8
   -3.7797619e+02                8                4               11                4                5                5                2                8
   -3.7796904e+02                9                4               12                4                5                5                2                8
   -3.7796010e+02               10                4               12                4                5                5                2                8
   -3.7794892e+02               11                5               15                4                7                7                2                8
   -3.7793495e+02               12                5               15                5                7                7                2                8
   -3.7791749e+02               13                5               16                5                7                7                3                8
   -3.7789566e+02               14                5               17                5                7                7                3                8
   -3.7786838e+02               15                5               19                6                7                7                3                8
   -3.7783427e+02               16                5               20                6                7                7                3                8
   -3.7779164e+02               17                5               23                7                7                7                3                8
   -3.7773835e+02               18                6               30                7                9                9                3                8
   -3.7767173e+02               19                6               36                7                9                9                3                8
   -3.7758847e+02               20                6               40                8                9                9                4                8
   -3.7748438e+02               21                6               47               10                9                9                4                8
   -3.7737043e+02               22                6               49               10                9                9                4                8
   -3.7725729e+02               23                6               49               10                9                9                4                8
   -3.7713518e+02               24                6               52               10                9                9                4                8
   -3.7700976e+02               25                6               55               10                9                9                4                8
   -3.7689565e+02               26                6               49               10                9                9                4                8
   -3.7679129e+02               27                6               45               10                9                9                4                8
   -3.7667790e+02               28                6               49               10                9                9                4                8
   -3.7656508e+02               29                6               48               10                9                9                4                8
   -3.7645116e+02               30                6               49               11                9                9                4                8
   -3.7633867e+02               31                6               49               11                9                9                4                8
   -3.7622478e+02               32                6               50               11                9                9                4                8
   -3.7611091e+02               33                6               49               10                9                9                4                8
   -3.7599912e+02               34                6               49               10                9                9                4                8
   -3.7588773e+02               35                6               49               10                9                9                4                8
   -3.7577390e+02               36                6               50               10                9                9                4                8
   -3.7566008e+02               37                6               50               10                9                9                4                8
   -3.7554903e+02               38                6               50               10                9                9                3                8
   -3.7543833e+02               39                6               50                9                9                9                3                8
   -3.7532455e+02               40                6               49                9                9                9                4                8
   -3.7521357e+02               41                6               50                9                9                9                4                8
   -3.7510701e+02               42                6               49                9                9                9                4                8
   -3.7500170e+02               43                6               46                9                9                9                4                8
   -3.7490193e+02               44                6               45                8                9                9                3                8
   -3.7479720e+02               45                6               46                9                9                9                3                8
   -3.7469673e+02               46                6               45                8                9                9                3                8
   -3.7460057e+02               47                6               44                8                9                9                4                8
   -3.7450442e+02               48                6               44                8                9                9                4                8
   -3.7440179e+02               49                6               45                9                9                9                4                8
   -3.7430653e+02               50                6               43                8                9                9                4                8
   -3.7421619e+02               51                6               41                8                9                9                3                8
   -3.7411819e+02               52                6               44                9                9                9                4                8
   -3.7402543e+02               53                6               43                9                9                9                3                8
   -3.7393180e+02               54                5               36                9                7                7                4                8
   -3.7384477e+02               55                5               36                9                7                7                4                8
   -3.7375502e+02               56                6               43                9                9                9                4                8
   -3.7366898e+02               57                6               41                9                9                9                4                8
   -3.7358589e+02               58                6               40                9                9                9                3                8
   -3.7350417e+02               59                5               34                8                7                7                4                8
   -3.7342594e+02               60                5               35                8                7                7                3                8
   -3.7335094e+02               61                6               39                8                9                9                3                8
   -3.7327736e+02               62                5               33                8                7                7                4                8
   -3.7320505e+02               63                5               32                8                7                7                3                8
   -3.7313360e+02               64                5               32                8                7                7                3                8
   -3.7306374e+02               65                6               38                8                9                9                3                8
   -3.7298841e+02               66                6               40                8                9                9                4                8
   -3.7291395e+02               67                6               42                9                9                9                3                8
   -3.7284124e+02               68                5               32                9                7                7                4                8
   -3.7276881e+02               69                6               40                9                9                9                4                8
   -3.7269690e+02               70                6               39                9                9                9                4                8
   -3.7262685e+02               71                6               39                9                9                9                4                8
   -3.7255758e+02               72                6               39                9                9                9                4                8
   -3.7248865e+02               73                5               33                9                7                7                3                8
   -3.7242043e+02               74                5               32                9                7                7                3                8
   -3.7235306e+02               75                5               32                9                7                7                3                9
   -3.7228645e+02               76                6               39                8                9                9                3                8
   -3.7222068e+02               77                5               34                8                7                7                3                8
   -3.7214794e+02               78                5               35                9                7                7                4                8
   -3.7207415e+02               79                5               34                9                7                7                4                9
   -3.7200130e+02               80                6               42                9                9                9                4                9
   -3.7193006e+02               81                6               39                9                9                9                4                8
   -3.7185884e+02               82                5               33                9                7                7                4                8
   -3.7178847e+02               83                5               33                9                7                7                4                8
   -3.7171739e+02               84                5               33               10                7                7                4                8
   -3.7164463e+02               85                5               34                9                7                7                3                8
   -3.7157319e+02               86                6               42                9                9                9                4               10
   -3.7150069e+02               87                5               35                9                7                7                3                9
   -3.7142888e+02               88                5               33                9                7                7                3                8
   -3.7135787e+02               89                5               35                9                7                7                3                8
   -3.7128805e+02               90                6               42                9                9                9                4                8
   -3.7121505e+02               91                6               42                9                9                9                4                9
   -3.7114321e+02               92                5               35                9                7                7                3                9
   -3.7106775e+02               93                5               35               10                7                7                3                9
   -3.7099332e+02               94                5               35               10                7                7                3                9
   -3.7091788e+02               95                5               34               10                7                7                3                9
   -3.7084232e+02               96                6               42               10                9                9                3                9
   -3.7076634e+02               97                6               42               10                9                9                3                9
   -3.7068879e+02               98                6               43               10                9                9                4                9
   -3.7061295e+02               99                6               42               10                9                9                4               10
   -3.7054081e+02              100                5               35                9                7                7                4                9
   -3.7047031e+02              101                5               33                9                7                7                3                9
   -3.7039937e+02              102                5               34                9                7                7                3                9
   -3.7032754e+02              103                6               41                9                9                9                4                9
   -3.7025512e+02              104                5               35               10                7                7                4                9
   -3.7018208e+02              105                5               35               10                7                7                3               10
   -3.7010884e+02              106                5               34                9                7                7                4               10
   -3.7003582e+02              107                6               41                9                9                9                3               10
   -3.6996265e+02              108                5               35               10                7                7                4               11
   -3.6988273e+02              109                6               44               10                9                9                4               11
   -3.6980218e+02              110                6               43               10                9                9                3               11
   -3.6972126e+02              111                5               36               10                7                7                3               11
   -3.6963994e+02              112                6               43               10                9                9                4               11
   -3.6955827e+02              113                6               43               10                9                9                3               11
   -3.6947773e+02              114                6               43               10                9                9                4               11
   -3.6939719e+02              115                6               43               10                9                9                3               11
   -3.6931418e+02              116                6               45               10                9                9                3               11
   -3.6923110e+02              117                5               37               10                7                7                4               11
   -3.6914643e+02              118                6               47               10                9                9                3               11
   -3.6906250e+02              119                5               37               10                7                7                4               11
   -3.6897735e+02              120                6               46                9                9                9                3               11
   -3.6888997e+02              121                6               46               10                9                9                3               11
   -3.6879825e+02              122                6               47               10                9                9                4               11
   -3.6870708e+02              123                5               39               10                7                7                4               11
   -3.6861551e+02              124                6               46               10                9                9                3               11
   -3.6852393e+02              125                6               47                9                9                9                3               11
   -3.6843262e+02              126                5               39               10                7                7                4               11
   -3.6833979e+02              127                5               39               10                7                7                3               11
   -3.6824679e+02              128                6               47               10                9                9                3               11
   -3.6814827e+02              129                6               51               10                9                9                4               11
   -3.6805623e+02              130                6               48                9                9                9                4               11
   -3.6795945e+02              131                6               51                9                9                9                5               11
   -3.6786404e+02              132                6               50               10                9                9                4               11
   -3.6776999e+02              133                5               39                9                7                7                4               11
   -3.6767621e+02              134                6               48                9                9                9                3               11
   -3.6757883e+02              135                6               52                9                9                9                4               11
   -3.6748207e+02              136                5               43                9                7                7                4               11
   -3.6738705e+02              137                5               42                9                7                7                3               11
   -3.6728800e+02              138                6               51                9                9                9                3               11
   -3.6719078e+02              139                6               51                9                9                9                4               11
   -3.6709293e+02              140                5               43                9                7                7                4               11
   -3.6699630e+02              141                6               52                9                9                9                3               11
   -3.6690259e+02              142                5               41                9                7                7                3               11
   -3.6681029e+02              143                5               40                8                7                7                3               11
   -3.6671848e+02              144                6               49                8                9                9                3               11
   -3.6662738e+02              145                5               39                8                7                7                4               11
   -3.6653666e+02              146                5               41                9                7                7                4               11
   -3.6644714e+02              147                5               40                8                7                7                4               11
   -3.6635879e+02              148                5               39                8                7                7                4               11
   -3.6627170e+02              149                5               38                8                7                7                3               11
   -3.6618466e+02              150                5               38                8                7                7                4               11
   -3.6609785e+02              151                5               38                9                7                7                4               11
   -3.6601139e+02              152                6               46                9                9                9                5               11
   -3.6594219e+02              153                6               40                9                9                9                4               11
   -3.6586976e+02              154                5               33                8                7                7                4               11
   -3.6578522e+02              155                6               46                8                9                9                4               11
   -3.6570190e+02              156                5               38                8                7                7                3               11
   -3.6561991e+02              157                5               37                8                7                7                3               11
   -3.6553567e+02              158                6               45                8                9                9                4               11
   -3.6545935e+02              159                5               35                8                7                7                4               10
   -3.6537598e+02              160                6               43                8                9                9                6               11
   -3.6531935e+02              161                5               30                8                7                7                4                9
   -3.6525184e+02              162                5               33                8                7                7                4                9
   -3.6516951e+02              163                6               44                9                9                9                4                9
   -3.6508844e+02              164                6               44                8                9                9                4                9
   -3.6500849e+02              165                6               43                9                9                9                4                9
   -3.6492945e+02              166                5               35                8                7                7                3                9
   -3.6485109e+02              167                5               34                8                7                7                3                9
   -3.6477332e+02              168                5               36                8                7                7                3                9
   -3.6469605e+02              169                5               36                8                7                7                3                9
   -3.6461917e+02              170                5               36                7                7                7                3                9
   -3.6454267e+02              171                5               37                7                7                7                3                9
   -3.6446663e+02              172                5               35                7                7                7                3                9
   -3.6439109e+02              173                5               37                7                7                7                3                9
   -3.6431583e+02              174                5               37                7                7                7                3                9
   -3.6424085e+02              175                5               35                7                7                7                3                9
   -3.6416622e+02              176                5               33                7                7                7                3                9
   -3.6409198e+02              177                5               34                7                7                7                3                9
   -3.6401800e+02              178                5               35                8                7                7                3                9
   -3.6394421e+02              179                5               35                8                7                7                3                9
   -3.6387054e+02              180                5               35                8                7                7                3                9
   -3.6379697e+02              181                5               35                7                7                7                3                9
   -3.6372351e+02              182                5               34                8                7                7                3                9
   -3.6371617e+02              183                5               15                3                7                7                2               24
   -3.6370698e+02              184                5               15                4                7                7                3               24
   -3.6369551e+02              185                6               18                4                9                9                3               24
   -3.6368116e+02              186                6               19                4                9                9                3               28
   -3.6366323e+02              187                6               20                4                9                9                3               30
   -3.6364081e+02              188                6               21                5                9                9                3               30
   -3.6361279e+02              189                6               25                5                9                9                3               30
   -3.6357776e+02              190                7               29                6               11               11                3               34
   -3.6353398e+02              191                7               31                7               11               11                3               38
   -3.6347925e+02              192                8               43                7               13               13                3               40
   -3.6341083e+02              193                7               41                8               11               11                3               40
   -3.6333790e+02              194                7               41                8               11               11                3               40
   -3.6326440e+02              195                8               49                8               13               13                4               38
   -3.6319463e+02              196                7               41                7               11               11                4               34
   -3.6312204e+02              197                7               41                8               11               11                4               34
   -3.6304857e+02              198                7               40                8               11               11                3               32
   -3.6297502e+02              199                7               40                7               11               11                3               32
   -3.6290136e+02              200                7               40                8               11               11                3               32
   -3.6282742e+02              201                7               41                7               11               11                3               32
   -3.6275303e+02              202                7               41                7               11               11                3               32
   -3.6267775e+02              203                7               42                7               11               11                4               32
   -3.6260110e+02              204                7               41                7               11               11                4               32
   -3.6253337e+02              205                7               39                7               11               11                3               32
   -3.6245396e+02              206                7               43                7               11               11                3               32
