# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank         CHEM_SRC    CHEM_SRC_Mean  CHEM_SRC_StdDev       Total_Mass
#           (DEG)     (J/s/m^3*kg) (J/s/m^3*kg/m^3) (J/s/m^3*kg/m^3)             (kg)
#
   -3.7800000e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9109161e-05
   -3.7789566e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9104843e-05
   -3.7779164e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9096693e-05
   -3.7767173e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9088396e-05
   -3.7758847e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9083813e-05
   -3.7748438e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9078859e-05
   -3.7737043e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9073912e-05
   -3.7725729e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9069203e-05
   -3.7713518e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9064174e-05
   -3.7700976e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9058991e-05
   -3.7689565e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9054108e-05
   -3.7679129e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9049317e-05
   -3.7667790e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9043411e-05
   -3.7656508e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9036371e-05
   -3.7645116e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9027539e-05
   -3.7633867e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9016588e-05
   -3.7622478e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.9002691e-05
   -3.7611091e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8985540e-05
   -3.7599912e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8965242e-05
   -3.7588773e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8941366e-05
   -3.7577390e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8913037e-05
   -3.7566008e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8880766e-05
   -3.7554903e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8845585e-05
   -3.7543833e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8806955e-05
   -3.7532455e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8763643e-05
   -3.7521357e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8718114e-05
   -3.7510701e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8671507e-05
   -3.7500170e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8622774e-05
   -3.7490193e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8574318e-05
   -3.7479720e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8521073e-05
   -3.7469673e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    9.8467926e-05
