# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank         CHEM_SRC    CHEM_SRC_Mean  CHEM_SRC_StdDev       Total_Mass
#           (DEG)     (J/s/m^3*kg) (J/s/m^3*kg/m^3) (J/s/m^3*kg/m^3)             (kg)
#
   -3.7800000e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9327279e-05
   -3.7789566e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9332032e-05
   -3.7779164e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9338876e-05
   -3.7767173e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9349345e-05
   -3.7758847e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9359204e-05
   -3.7748438e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9372708e-05
   -3.7737043e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9389984e-05
   -3.7725729e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9409475e-05
   -3.7713518e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9433118e-05
   -3.7700976e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9459770e-05
   -3.7689565e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9485729e-05
   -3.7679129e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9510538e-05
   -3.7667790e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9538318e-05
   -3.7656508e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9566129e-05
   -3.7645116e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9594960e-05
   -3.7633867e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9620998e-05
   -3.7622478e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9645485e-05
   -3.7611091e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9667487e-05
   -3.7599912e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9686231e-05
   -3.7588773e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9701760e-05
   -3.7577390e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9714119e-05
   -3.7566008e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9722856e-05
   -3.7554903e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9727893e-05
   -3.7543833e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9729511e-05
   -3.7532455e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9719525e-05
   -3.7521357e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.9714982e-05
