# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank       Source_8_0       Source_8_0       Source_9_1       Source_9_1
#           (DEG)    Integrated_HR          HR_Rate    Integrated_HR          HR_Rate
#          (none)              (J)          (J/DEG)              (J)          (J/DEG)
   -3.7800000e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7789566e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7779164e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7767173e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7758847e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7748438e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7737043e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7725729e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7713518e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7700976e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7689565e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7679129e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7667790e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7656508e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7645116e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7633867e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7622478e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7611091e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7599912e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7588773e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7577390e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7566008e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7554903e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7543833e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7532455e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7521357e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7510701e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7500170e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7490193e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7479720e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7469673e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7450442e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7440179e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7430653e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7421619e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7411819e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7402543e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7393180e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7384477e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7375502e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7366898e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7358589e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7342594e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7335094e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7327736e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7313360e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7306374e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7298841e+02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
