# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11               12               13
#           Crank               AR               N2               HE               H2                H               O2                O              H2O               OH              OHV             H2O2              HO2
#           (DEG)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)
#
   -3.7800000e+02    0.0000000e+00    7.4481680e-05    0.0000000e+00    1.6249579e-06    0.0000000e+00    1.8395077e-05    0.0000000e+00    4.6074449e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7789566e+02    0.0000000e+00    7.4478469e-05    0.0000000e+00    1.6248144e-06    0.0000000e+00    1.8393955e-05    0.0000000e+00    4.6076042e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7779164e+02    0.0000000e+00    7.4472401e-05    0.0000000e+00    1.6245570e-06    0.0000000e+00    1.8391897e-05    0.0000000e+00    4.6078382e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7767173e+02    0.0000000e+00    7.4466222e-05    0.0000000e+00    1.6242956e-06    0.0000000e+00    1.8389805e-05    0.0000000e+00    4.6080725e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7758847e+02    0.0000000e+00    7.4462814e-05    0.0000000e+00    1.6241433e-06    0.0000000e+00    1.8388615e-05    0.0000000e+00    4.6082415e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7748438e+02    0.0000000e+00    7.4459134e-05    0.0000000e+00    1.6239676e-06    0.0000000e+00    1.8387279e-05    0.0000000e+00    4.6084788e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7737043e+02    0.0000000e+00    7.4455464e-05    0.0000000e+00    1.6237810e-06    0.0000000e+00    1.8385896e-05    0.0000000e+00    4.6087710e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7725729e+02    0.0000000e+00    7.4451975e-05    0.0000000e+00    1.6235953e-06    0.0000000e+00    1.8384543e-05    0.0000000e+00    4.6090893e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7713518e+02    0.0000000e+00    7.4448251e-05    0.0000000e+00    1.6233918e-06    0.0000000e+00    1.8383077e-05    0.0000000e+00    4.6094544e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7700976e+02    0.0000000e+00    7.4444413e-05    0.0000000e+00    1.6231824e-06    0.0000000e+00    1.8381566e-05    0.0000000e+00    4.6098295e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
