# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11               12               13
#           Crank               AR               N2               HE               H2                H               O2                O              H2O               OH              OHV             H2O2              HO2
#           (DEG)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)
#
   -3.7800000e+02    0.0000000e+00    4.7084058e-05    0.0000000e+00    1.6249579e-06    0.0000000e+00    1.4303241e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7789566e+02    0.0000000e+00    4.7079899e-05    0.0000000e+00    1.6248144e-06    0.0000000e+00    1.4301977e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7779164e+02    0.0000000e+00    4.7072440e-05    0.0000000e+00    1.6245570e-06    0.0000000e+00    1.4299711e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7767173e+02    0.0000000e+00    4.7064868e-05    0.0000000e+00    1.6242956e-06    0.0000000e+00    1.4297411e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7758847e+02    0.0000000e+00    4.7060455e-05    0.0000000e+00    1.6241433e-06    0.0000000e+00    1.4296070e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7748438e+02    0.0000000e+00    4.7055364e-05    0.0000000e+00    1.6239676e-06    0.0000000e+00    1.4294524e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7737043e+02    0.0000000e+00    4.7049957e-05    0.0000000e+00    1.6237810e-06    0.0000000e+00    1.4292881e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7725729e+02    0.0000000e+00    4.7044575e-05    0.0000000e+00    1.6235953e-06    0.0000000e+00    1.4291246e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7713518e+02    0.0000000e+00    4.7038680e-05    0.0000000e+00    1.6233918e-06    0.0000000e+00    1.4289456e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7700976e+02    0.0000000e+00    4.7032611e-05    0.0000000e+00    1.6231824e-06    0.0000000e+00    1.4287612e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7689565e+02    0.0000000e+00    4.7027119e-05    0.0000000e+00    1.6229928e-06    0.0000000e+00    1.4285944e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7679129e+02    0.0000000e+00    4.7022145e-05    0.0000000e+00    1.6228212e-06    0.0000000e+00    1.4284433e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7667790e+02    0.0000000e+00    4.7016839e-05    0.0000000e+00    1.6226381e-06    0.0000000e+00    1.4282821e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7656508e+02    0.0000000e+00    4.7011641e-05    0.0000000e+00    1.6224587e-06    0.0000000e+00    1.4281242e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7645116e+02    0.0000000e+00    4.7006458e-05    0.0000000e+00    1.6222798e-06    0.0000000e+00    1.4279667e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7633867e+02    0.0000000e+00    4.7001377e-05    0.0000000e+00    1.6221045e-06    0.0000000e+00    1.4278124e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7622478e+02    0.0000000e+00    4.6996255e-05    0.0000000e+00    1.6219277e-06    0.0000000e+00    1.4276568e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7611091e+02    0.0000000e+00    4.6991144e-05    0.0000000e+00    1.6217513e-06    0.0000000e+00    1.4275015e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7599912e+02    0.0000000e+00    4.6986129e-05    0.0000000e+00    1.6215782e-06    0.0000000e+00    1.4273491e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7588773e+02    0.0000000e+00    4.6981125e-05    0.0000000e+00    1.6214055e-06    0.0000000e+00    1.4271972e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7577390e+02    0.0000000e+00    4.6975992e-05    0.0000000e+00    1.6212284e-06    0.0000000e+00    1.4270412e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7566008e+02    0.0000000e+00    4.6970817e-05    0.0000000e+00    1.6210498e-06    0.0000000e+00    1.4268840e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7554903e+02    0.0000000e+00    4.6965710e-05    0.0000000e+00    1.6208735e-06    0.0000000e+00    1.4267289e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7543833e+02    0.0000000e+00    4.6960542e-05    0.0000000e+00    1.6206952e-06    0.0000000e+00    1.4265719e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7532455e+02    0.0000000e+00    4.6955128e-05    0.0000000e+00    1.6205083e-06    0.0000000e+00    1.4264074e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7521357e+02    0.0000000e+00    4.6949720e-05    0.0000000e+00    1.6203217e-06    0.0000000e+00    1.4262431e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7510701e+02    0.0000000e+00    4.6944393e-05    0.0000000e+00    1.6201378e-06    0.0000000e+00    1.4260813e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7500170e+02    0.0000000e+00    4.6938990e-05    0.0000000e+00    1.6199514e-06    0.0000000e+00    1.4259172e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7490193e+02    0.0000000e+00    4.6933733e-05    0.0000000e+00    1.6197699e-06    0.0000000e+00    1.4257575e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7479720e+02    0.0000000e+00    4.6928065e-05    0.0000000e+00    1.6195743e-06    0.0000000e+00    1.4255853e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7469673e+02    0.0000000e+00    4.6922475e-05    0.0000000e+00    1.6193814e-06    0.0000000e+00    1.4254155e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7450442e+02    0.0000000e+00    4.6911363e-05    0.0000000e+00    1.6189979e-06    0.0000000e+00    1.4250779e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7440179e+02    0.0000000e+00    4.6905221e-05    0.0000000e+00    1.6187859e-06    0.0000000e+00    1.4248913e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7430653e+02    0.0000000e+00    4.6899391e-05    0.0000000e+00    1.6185847e-06    0.0000000e+00    1.4247142e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7421619e+02    0.0000000e+00    4.6893756e-05    0.0000000e+00    1.6183903e-06    0.0000000e+00    1.4245431e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7411819e+02    0.0000000e+00    4.6887544e-05    0.0000000e+00    1.6181759e-06    0.0000000e+00    1.4243543e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7402543e+02    0.0000000e+00    4.6881572e-05    0.0000000e+00    1.6179698e-06    0.0000000e+00    1.4241729e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7393180e+02    0.0000000e+00    4.6875468e-05    0.0000000e+00    1.6177591e-06    0.0000000e+00    1.4239875e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7384477e+02    0.0000000e+00    4.6869736e-05    0.0000000e+00    1.6175613e-06    0.0000000e+00    1.4238134e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7375502e+02    0.0000000e+00    4.6863781e-05    0.0000000e+00    1.6173558e-06    0.0000000e+00    1.4236325e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7366898e+02    0.0000000e+00    4.6858040e-05    0.0000000e+00    1.6171576e-06    0.0000000e+00    1.4234580e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7358589e+02    0.0000000e+00    4.6852474e-05    0.0000000e+00    1.6169655e-06    0.0000000e+00    1.4232890e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7342594e+02    0.0000000e+00    4.6841736e-05    0.0000000e+00    1.6165949e-06    0.0000000e+00    1.4229628e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7335094e+02    0.0000000e+00    4.6836709e-05    0.0000000e+00    1.6164214e-06    0.0000000e+00    1.4228101e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
