Crank_Angle_(deg)	MFB_(%)
10.000000	0.000000
10.140140	0.000000
10.280280	0.000000
10.420420	0.000000
10.560561	0.000000
10.700701	0.000000
10.840841	0.000000
10.980981	0.000000
11.121121	0.000000
11.261261	0.000000
11.401401	0.000000
11.541542	0.000000
11.681682	0.000000
11.821822	0.000000
11.961962	0.000000
12.102102	0.000000
12.242242	0.000000
12.382382	0.000000
12.522523	0.000000
12.662663	0.000001
12.802803	0.000001
12.942943	0.000001
13.083083	0.000001
13.223223	0.000001
13.363363	0.000001
13.503504	0.000001
13.643644	0.000001
13.783784	0.000001
13.923924	0.000001
14.064064	0.000001
14.204204	0.000001
14.344344	0.000001
14.484484	0.000001
14.624625	0.000001
14.764765	0.000001
14.904905	0.000001
15.045045	0.000001
15.185185	0.000001
15.325325	0.000001
15.465465	0.000001
15.605606	0.000001
15.745746	0.000001
15.885886	0.000001
16.026026	0.000001
16.166166	0.000001
16.306306	0.000001
16.446446	0.000001
16.586587	0.000001
16.726727	0.000002
16.866867	0.000002
17.007007	0.000002
17.147147	0.000002
17.287287	0.000002
17.427427	0.000002
17.567568	0.000002
17.707708	0.000002
17.847848	0.000002
17.987988	0.000002
18.128128	0.000002
18.268268	0.000002
18.408408	0.000002
18.548549	0.000002
18.688689	0.000002
18.828829	0.000002
18.968969	0.000002
19.109109	0.000002
19.249249	0.000002
19.389389	0.000002
19.529530	0.000002
19.669670	0.000002
19.809810	0.000002
19.949950	0.000002
20.090090	0.000002
20.230230	0.000002
20.370370	0.000003
20.510511	0.000003
20.650651	0.000003
20.790791	0.000003
20.930931	0.000003
21.071071	0.000003
21.211211	0.000003
21.351351	0.000003
21.491491	0.000003
21.631632	0.000003
21.771772	0.000003
21.911912	0.000003
22.052052	0.000003
22.192192	0.000003
22.332332	0.000003
22.472472	0.000003
22.612613	0.000003
22.752753	0.000003
22.892893	0.000003
23.033033	0.000003
23.173173	0.000003
23.313313	0.000003
23.453453	0.000003
23.593594	0.000003
23.733734	0.000003
23.873874	0.000003
24.014014	0.000003
24.154154	0.000003
24.294294	0.000004
24.434434	0.000004
24.574575	0.000004
24.714715	0.000004
24.854855	0.000004
24.994995	0.000004
25.135135	0.000004
25.275275	0.000004
25.415415	0.000004
25.555556	0.000004
25.695696	0.000004
25.835836	0.000004
25.975976	0.000004
26.116116	0.000004
26.256256	0.000004
26.396396	0.000004
26.536537	0.000004
26.676677	0.000004
26.816817	0.000004
26.956957	0.000004
27.097097	0.000004
27.237237	0.000004
27.377377	0.000004
27.517518	0.000004
27.657658	0.000004
27.797798	0.000004
27.937938	0.000004
28.078078	0.000004
28.218218	0.000004
28.358358	0.000004
28.498498	0.000004
28.638639	0.000004
28.778779	0.000004
28.918919	0.000004
29.059059	0.000004
29.199199	0.000004
29.339339	0.000004
29.479479	0.000004
29.619620	0.000004
29.759760	0.000004
29.899900	0.000004
30.040040	0.000011
30.180180	0.000342
30.320320	0.035681
30.460460	0.329642
30.600601	0.782754
30.740741	0.973118
30.880881	0.975081
31.021021	0.975956
31.161161	0.976970
31.301301	0.976970
31.441441	0.976980
31.581582	0.977297
31.721722	0.978145
31.861862	0.978368
32.002002	0.978368
32.142142	0.978588
32.282282	0.979174
32.422422	0.979629
32.562563	0.979650
32.702703	0.979786
32.842843	0.980097
32.982983	0.980547
33.123123	0.980793
33.263263	0.980871
33.403403	0.981049
33.543544	0.981389
33.683684	0.981693
33.823824	0.981827
33.963964	0.981929
34.104104	0.982135
34.244244	0.982449
34.384384	0.982682
34.524525	0.982810
34.664665	0.982959
34.804805	0.983188
34.944945	0.983431
35.085085	0.983588
35.225225	0.983700
35.365365	0.983866
35.505506	0.984100
35.645646	0.984313
35.785786	0.984464
35.925926	0.984600
36.066066	0.984777
36.206206	0.984977
36.346346	0.985138
36.486486	0.985259
36.626627	0.985396
36.766767	0.985577
36.906907	0.985769
37.047047	0.985927
37.187187	0.986063
37.327327	0.986208
37.467467	0.986375
37.607608	0.986528
37.747748	0.986656
37.887888	0.986778
38.028028	0.986924
38.168168	0.987088
38.308308	0.987242
38.448448	0.987376
38.588589	0.987506
38.728729	0.987645
38.868869	0.987786
39.009009	0.987914
39.149149	0.988032
39.289289	0.988157
39.429429	0.988295
39.569570	0.988436
39.709710	0.988568
39.849850	0.988692
39.989990	0.988816
40.130130	0.988939
40.270270	0.989059
40.410410	0.989173
40.550551	0.989287
40.690691	0.989407
40.830831	0.989531
40.970971	0.989653
41.111111	0.989770
41.251251	0.989884
41.391391	0.989997
41.531532	0.990108
41.671672	0.990214
41.811812	0.990319
41.951952	0.990426
42.092092	0.990536
42.232232	0.990647
42.372372	0.990756
42.512513	0.990862
42.652653	0.990965
42.792793	0.991067
42.932933	0.991166
43.073073	0.991263
43.213213	0.991360
43.353353	0.991458
43.493493	0.991558
43.633634	0.991658
43.773774	0.991755
43.913914	0.991850
44.054054	0.991944
44.194194	0.992035
44.334334	0.992125
44.474474	0.992214
44.614615	0.992302
44.754755	0.992392
44.894895	0.992481
45.035035	0.992571
45.175175	0.992658
45.315315	0.992744
45.455455	0.992828
45.595596	0.992911
45.735736	0.992992
45.875876	0.993072
46.016016	0.993152
46.156156	0.993233
46.296296	0.993313
46.436436	0.993393
46.576577	0.993471
46.716717	0.993549
46.856857	0.993624
46.996997	0.993699
47.137137	0.993772
47.277277	0.993845
47.417417	0.993917
47.557558	0.993989
47.697698	0.994061
47.837838	0.994133
47.977978	0.994203
48.118118	0.994272
48.258258	0.994341
48.398398	0.994408
48.538539	0.994474
48.678679	0.994539
48.818819	0.994604
48.958959	0.994669
49.099099	0.994734
49.239239	0.994798
49.379379	0.994861
49.519520	0.994923
49.659660	0.994984
49.799800	0.995044
49.939940	0.995104
50.080080	0.995162
50.220220	0.995221
50.360360	0.995277
50.500501	0.995332
50.640641	0.995389
50.780781	0.995446
50.920921	0.995501
51.061061	0.995556
51.201201	0.995611
51.341341	0.995664
51.481481	0.995717
51.621622	0.995769
51.761762	0.995822
51.901902	0.995873
52.042042	0.995924
52.182182	0.995974
52.322322	0.996024
52.462462	0.996073
52.602603	0.996122
52.742743	0.996170
52.882883	0.996217
53.023023	0.996263
53.163163	0.996310
53.303303	0.996356
53.443443	0.996401
53.583584	0.996446
53.723724	0.996490
53.863864	0.996534
54.004004	0.996577
54.144144	0.996620
54.284284	0.996662
54.424424	0.996703
54.564565	0.996744
54.704705	0.996785
54.844845	0.996825
54.984985	0.996865
55.125125	0.996904
55.265265	0.996943
55.405405	0.996982
55.545546	0.997020
55.685686	0.997057
55.825826	0.997094
55.965966	0.997130
56.106106	0.997167
56.246246	0.997202
56.386386	0.997237
56.526527	0.997272
56.666667	0.997307
56.806807	0.997341
56.946947	0.997374
57.087087	0.997407
57.227227	0.997440
57.367367	0.997472
57.507508	0.997504
57.647648	0.997536
57.787788	0.997567
57.927928	0.997598
58.068068	0.997628
58.208208	0.997658
58.348348	0.997688
58.488488	0.997717
58.628629	0.997746
58.768769	0.997775
58.908909	0.997803
59.049049	0.997831
59.189189	0.997859
59.329329	0.997886
59.469469	0.997912
59.609610	0.997939
59.749750	0.997966
59.889890	0.997991
60.030030	0.998017
60.170170	0.998042
60.310310	0.998067
60.450450	0.998092
60.590591	0.998116
60.730731	0.998140
60.870871	0.998164
61.011011	0.998187
61.151151	0.998210
61.291291	0.998233
61.431431	0.998256
61.571572	0.998278
61.711712	0.998300
61.851852	0.998322
61.991992	0.998343
62.132132	0.998364
62.272272	0.998385
62.412412	0.998406
62.552553	0.998426
62.692693	0.998446
62.832833	0.998466
62.972973	0.998485
63.113113	0.998505
63.253253	0.998524
63.393393	0.998542
63.533534	0.998561
63.673674	0.998579
63.813814	0.998597
63.953954	0.998615
64.094094	0.998633
64.234234	0.998650
64.374374	0.998667
64.514515	0.998684
64.654655	0.998701
64.794795	0.998718
64.934935	0.998734
65.075075	0.998750
65.215215	0.998766
65.355355	0.998782
65.495495	0.998797
65.635636	0.998812
65.775776	0.998827
65.915916	0.998842
66.056056	0.998857
66.196196	0.998871
