Crank_Angle_(deg)	MFB_(%)
-4.520000	0.000000
2.642697	0.001001
3.213573	0.002002
3.509096	0.003003
3.712105	0.004004
3.880713	0.005005
4.029936	0.006006
4.161650	0.007007
4.281276	0.008008
4.388683	0.009009
4.480732	0.010010
4.562260	0.011011
4.640981	0.012012
4.714138	0.013013
4.785332	0.014014
4.848652	0.015015
4.910256	0.016016
4.964039	0.017017
5.015561	0.018018
5.065796	0.019019
5.110910	0.020020
5.153447	0.021021
5.191845	0.022022
5.228326	0.023023
5.263643	0.024024
5.298051	0.025025
5.325751	0.026026
5.353430	0.027027
5.381110	0.028028
5.406418	0.029029
5.431448	0.030030
5.455511	0.031031
5.478791	0.032032
5.502071	0.033033
5.525176	0.034034
5.546651	0.035035
5.568125	0.036036
5.588938	0.037037
5.608447	0.038038
5.627956	0.039039
5.647465	0.040040
5.666812	0.041041
5.685244	0.042042
5.703676	0.043043
5.722108	0.044044
5.738653	0.045045
5.755089	0.046046
5.771525	0.047047
5.787960	0.048048
5.804102	0.049049
5.819466	0.050050
5.834830	0.051051
5.850194	0.052052
5.865558	0.053053
5.880214	0.054054
5.894687	0.055055
5.909161	0.056056
5.923635	0.057057
5.937979	0.058058
5.951764	0.059059
5.965549	0.060060
5.979334	0.061061
5.993119	0.062062
6.006904	0.063063
6.020212	0.064064
6.033145	0.065065
6.046078	0.066066
6.059011	0.067067
6.071874	0.068068
6.084148	0.069069
6.096422	0.070070
6.108695	0.071071
6.120969	0.072072
6.133243	0.073073
6.145516	0.074074
6.157782	0.075075
6.169414	0.076076
6.181046	0.077077
6.192678	0.078078
6.204309	0.079079
6.215565	0.080080
6.226748	0.081081
6.237932	0.082082
6.249116	0.083083
6.260300	0.084084
6.271483	0.085085
6.282667	0.086086
6.293851	0.087087
6.304918	0.088088
6.315596	0.089089
6.326273	0.090090
6.336951	0.091091
6.347403	0.092092
6.357705	0.093093
6.368008	0.094094
6.378310	0.095095
6.388612	0.096096
6.398914	0.097097
6.409217	0.098098
6.419519	0.099099
6.429821	0.100100
6.440124	0.101101
