Crank_Angle_(deg)	MFB_(%)
0.000000	0.000000
0.140140	0.000015
0.280280	0.000040
0.420420	0.000069
0.560561	0.000089
0.700701	0.000105
0.840841	0.000120
0.980981	0.000138
1.121121	0.000157
1.261261	0.000177
1.401401	0.000201
1.541542	0.000224
1.681682	0.000251
1.821822	0.000280
1.961962	0.000312
2.102102	0.000344
2.242242	0.000378
2.382382	0.000417
2.522523	0.000455
2.662663	0.000495
2.802803	0.000545
2.942943	0.000599
3.083083	0.000657
3.223223	0.000716
3.363363	0.000777
3.503504	0.000849
3.643644	0.000920
3.783784	0.000996
3.923924	0.001075
4.064064	0.001160
4.204204	0.001257
4.344344	0.001360
4.484484	0.001463
4.624625	0.001576
4.764765	0.001705
4.904905	0.001836
5.045045	0.001972
5.185185	0.002125
5.325325	0.002281
5.465465	0.002450
5.605606	0.002632
5.745746	0.002823
5.885886	0.003027
6.026026	0.003247
6.166166	0.003482
6.306306	0.003729
6.446446	0.003995
6.586587	0.004272
6.726727	0.004571
6.866867	0.004891
7.007007	0.005233
7.147147	0.005593
7.287287	0.005982
7.427427	0.006393
7.567568	0.006841
7.707708	0.007311
7.847848	0.007823
7.987988	0.008374
8.128128	0.008954
8.268268	0.009585
8.408408	0.010244
8.548549	0.010959
8.688689	0.011715
8.828829	0.012520
8.968969	0.013368
9.109109	0.014281
9.249249	0.015243
9.389389	0.016267
9.529530	0.017348
9.669670	0.018558
9.809810	0.019772
9.949950	0.021066
10.090090	0.022424
10.230230	0.023850
10.370370	0.025336
10.510511	0.026892
10.650651	0.028514
10.790791	0.030206
10.930931	0.031995
11.071071	0.033853
11.211211	0.035886
11.351351	0.037799
11.491491	0.039823
11.631632	0.041945
11.771772	0.044308
11.911912	0.046779
12.052052	0.049202
12.192192	0.051635
12.332332	0.054206
12.472472	0.056943
12.612613	0.059820
12.752753	0.062536
12.892893	0.065558
13.033033	0.068629
13.173173	0.071835
13.313313	0.074778
13.453453	0.078184
13.593594	0.081493
13.733734	0.084852
13.873874	0.088189
14.014014	0.091552
14.154154	0.095095
14.294294	0.098584
14.434434	0.101971
14.574575	0.105755
14.714715	0.109453
14.854855	0.113115
14.994995	0.116940
15.135135	0.120786
15.275275	0.124650
15.415415	0.128402
15.555556	0.132501
15.695696	0.136571
15.835836	0.140787
15.975976	0.144956
16.116116	0.149212
16.256256	0.153619
16.396396	0.157953
16.536537	0.162274
16.676677	0.166612
16.816817	0.171135
16.956957	0.175556
17.097097	0.179938
17.237237	0.184611
17.377377	0.189171
17.517518	0.193764
17.657658	0.198324
17.797798	0.202862
17.937938	0.207495
18.078078	0.212123
18.218218	0.216757
18.358358	0.221470
18.498498	0.226098
18.638639	0.230965
18.778779	0.235950
18.918919	0.240612
19.059059	0.245598
19.199199	0.250633
19.339339	0.255520
19.479479	0.260542
19.619620	0.265691
19.759760	0.270919
19.899900	0.276213
20.040040	0.281430
20.180180	0.286817
20.320320	0.292154
20.460460	0.297443
20.600601	0.302630
20.740741	0.308077
20.880881	0.313524
21.021021	0.319024
21.161161	0.324622
21.301301	0.330044
21.441441	0.335667
21.581582	0.341295
21.721722	0.346793
21.861862	0.352319
22.002002	0.357684
22.142142	0.363212
22.282282	0.368708
22.422422	0.374258
22.562563	0.380066
22.702703	0.385887
22.842843	0.391525
22.982983	0.397038
23.123123	0.402496
23.263263	0.408301
23.403403	0.413942
23.543544	0.419332
23.683684	0.424785
23.823824	0.430331
23.963964	0.435919
24.104104	0.441600
24.244244	0.446916
24.384384	0.452447
24.524525	0.457985
24.664665	0.463594
24.804805	0.469103
24.944945	0.474773
25.085085	0.480358
25.225225	0.485763
25.365365	0.491213
25.505506	0.496591
25.645646	0.501936
25.785786	0.507359
25.925926	0.512536
26.066066	0.517518
26.206206	0.522444
26.346346	0.527376
26.486486	0.532378
26.626627	0.537189
26.766767	0.541924
26.906907	0.546521
27.047047	0.551156
27.187187	0.555773
27.327327	0.560356
27.467467	0.564904
27.607608	0.569401
27.747748	0.573842
27.887888	0.578210
28.028028	0.582509
28.168168	0.586816
28.308308	0.590861
28.448448	0.595065
28.588589	0.599148
28.728729	0.603255
28.868869	0.607235
29.009009	0.611211
29.149149	0.615115
29.289289	0.618934
29.429429	0.622750
29.569570	0.626610
29.709710	0.630422
29.849850	0.634242
29.989990	0.638003
30.130130	0.641638
30.270270	0.645280
30.410410	0.648936
30.550551	0.652454
30.690691	0.656094
30.830831	0.659665
30.970971	0.663267
31.111111	0.666818
31.251251	0.670292
31.391391	0.673704
31.531532	0.677092
31.671672	0.680356
31.811812	0.683775
31.951952	0.687043
32.092092	0.690304
32.232232	0.693581
32.372372	0.696624
32.512513	0.699807
32.652653	0.703053
32.792793	0.706064
32.932933	0.709207
33.073073	0.712259
33.213213	0.715267
33.353353	0.718070
33.493493	0.720933
33.633634	0.723958
33.773774	0.726874
33.913914	0.729697
34.054054	0.732509
34.194194	0.735125
34.334334	0.737755
34.474474	0.740501
34.614615	0.743197
34.754755	0.745952
34.894895	0.748581
35.035035	0.751239
35.175175	0.753836
35.315315	0.756241
35.455455	0.758636
35.595596	0.761065
35.735736	0.763612
35.875876	0.766010
36.016016	0.768261
36.156156	0.770520
36.296296	0.772856
36.436436	0.775129
36.576577	0.777467
36.716717	0.779718
36.856857	0.781857
36.996997	0.784238
37.137137	0.786484
37.277277	0.788677
37.417417	0.790959
37.557558	0.793129
37.697698	0.795223
37.837838	0.797276
37.977978	0.799469
38.118118	0.801378
38.258258	0.803252
38.398398	0.805360
38.538539	0.807419
38.678679	0.809473
38.818819	0.811536
38.958959	0.813579
39.099099	0.815633
39.239239	0.817685
39.379379	0.819589
39.519520	0.821482
39.659660	0.823388
39.799800	0.825298
39.939940	0.827170
40.080080	0.828933
40.220220	0.830749
40.360360	0.832583
40.500501	0.834432
40.640641	0.836229
40.780781	0.838040
40.920921	0.839822
41.061061	0.841569
41.201201	0.843288
41.341341	0.845003
41.481481	0.846714
41.621622	0.848484
41.761762	0.850206
41.901902	0.851909
42.042042	0.853587
42.182182	0.855288
42.322322	0.856989
42.462462	0.858629
42.602603	0.860314
42.742743	0.861937
42.882883	0.863582
43.023023	0.865212
43.163163	0.866821
43.303303	0.868356
43.443443	0.869989
43.583584	0.871618
43.723724	0.873258
43.863864	0.874843
44.004004	0.876429
44.144144	0.877961
44.284284	0.879572
44.424424	0.881173
44.564565	0.882773
44.704705	0.884368
44.844845	0.885915
44.984985	0.887464
45.125125	0.889076
45.265265	0.890592
45.405405	0.892173
45.545546	0.893723
45.685686	0.895309
45.825826	0.896847
45.965966	0.898415
46.106106	0.899951
46.246246	0.901480
46.386386	0.902885
46.526527	0.904491
46.666667	0.905908
46.806807	0.907321
46.946947	0.908879
47.087087	0.910389
47.227227	0.911745
47.367367	0.913303
47.507508	0.914793
47.647648	0.916188
47.787788	0.917617
47.927928	0.919062
48.068068	0.920457
48.208208	0.921889
48.348348	0.923193
48.488488	0.924604
48.628629	0.925936
48.768769	0.927302
48.908909	0.928628
49.049049	0.929917
49.189189	0.931185
49.329329	0.932496
49.469469	0.933763
49.609610	0.934989
49.749750	0.936206
49.889890	0.937382
50.030030	0.938564
50.170170	0.939780
50.310310	0.941003
50.450450	0.942131
50.590591	0.943286
50.730731	0.944363
50.870871	0.945515
51.011011	0.946541
51.151151	0.947694
51.291291	0.948663
51.431431	0.949717
51.571572	0.950738
51.711712	0.951686
51.851852	0.952649
51.991992	0.953619
52.132132	0.954530
52.272272	0.955421
52.412412	0.956336
52.552553	0.957195
52.692693	0.958016
52.832833	0.958823
52.972973	0.959632
53.113113	0.960400
53.253253	0.961170
53.393393	0.961926
53.533534	0.962579
53.673674	0.963295
53.813814	0.963972
53.953954	0.964621
54.094094	0.965272
54.234234	0.965924
54.374374	0.966512
54.514515	0.967165
54.654655	0.967765
54.794795	0.968325
54.934935	0.968907
55.075075	0.969487
55.215215	0.970050
55.355355	0.970569
55.495495	0.971097
55.635636	0.971624
55.775776	0.972116
55.915916	0.972631
56.056056	0.973080
56.196196	0.973564
56.336336	0.974021
56.476476	0.974479
56.616617	0.974910
56.756757	0.975316
56.896897	0.975735
57.037037	0.976140
57.177177	0.976546
57.317317	0.976934
57.457457	0.977300
57.597598	0.977698
57.737738	0.978075
57.877878	0.978431
58.018018	0.978773
58.158158	0.979108
58.298298	0.979462
58.438438	0.979801
58.578579	0.980114
58.718719	0.980440
58.858859	0.980728
58.998999	0.981041
59.139139	0.981330
59.279279	0.981640
